Frequency_desired,Amplitude_desired,Frequency_image,Amplitude_image,IRR
1250000000,-78.6543549526374,2950000000,-108.2667812153371,29.6124262626997
1260000000,-78.7265122355521,2940000000,-108.2370663344975,29.510554098945406
1270000000,-78.7980494872088,2930000000,-108.2072370611464,29.4091875739376
1280000000,-78.8689768681038,2920000000,-108.1772903572087,29.308313489104904
1290000000,-78.939312648769,2910000000,-108.147248835686,29.207936186916996
1300000000,-79.0088451071967,2900000000,-108.1208321955261,29.1119870883294
1310000000,-79.0782420063292,2890000000,-108.0867844654922,29.008542459162996
1320000000,-79.146848414902,2880000000,-108.0563505825681,28.909502167666105
1330000000,-79.2148998701736,2870000000,-108.0258099720677,28.81091010189411
1340000000,-79.2824178793002,2860000000,-107.9951354549476,28.712717575647403
1350000000,-79.3493880467141,2850000000,-107.9643199606709,28.61493191395681
1360000000,-79.4158292307796,2840000000,-107.9334033355053,28.51757410472571
1370000000,-79.4817492386915,2830000000,-107.9023641478446,28.420614909153088
1380000000,-79.5471617785047,2820000000,-107.8712712395345,28.324109461029792
1390000000,-79.6120665152639,2810000000,-107.8401196201312,28.2280531048673
1400000000,-79.6764814336168,2800000000,-107.8089480757063,28.132466642089497
1410000000,-79.7404109088384,2790000000,-107.7776876571245,28.037276748286104
1420000000,-79.8038521319516,2780000000,-107.7463343549441,27.942482222992496
1430000000,-79.8668199788295,2770000000,-107.7148563949072,27.848036416077704
1440000000,-79.9293266634899,2760000000,-107.6832385670371,27.75391190354719
1450000000,-79.9913733418122,2750000000,-107.6514971161003,27.660123774288095
1460000000,-80.0529650707333,2740000000,-107.6195881264409,27.56662305570761
1470000000,-80.1141169288829,2730000000,-107.5875852869723,27.473468358089406
1480000000,-80.174819354702,2720000000,-107.5554293897763,27.380610035074298
1490000000,-80.2350982388517,2710000000,-107.5231550734043,27.28805683455259
1500000000,-80.2949444564736,2700000000,-107.4907439686691,27.195799512195492
1510000000,-80.3543889106314,2690000000,-107.4582240540845,27.103835143453097
1520000000,-80.4133979396893,2680000000,-107.4255576544429,27.012159714753594
1530000000,-80.4720039074679,2670000000,-107.3927845563962,26.9207806489283
1540000000,-80.5301946306434,2660000000,-107.3598709420611,26.8296763114177
1550000000,-80.5880191672311,2650000000,-107.3268470154012,26.738827848170104
1560000000,-80.6454316756681,2640000000,-107.2936868209336,26.648255145265495
1570000000,-80.7024675451475,2630000000,-107.2603999173055,26.557932372158007
1580000000,-80.7591101813454,2620000000,-107.2269872057178,26.4678770243724
1590000000,-80.815389185535,2610000000,-107.1934239615621,26.378034776027107
1600000000,-80.8712830862446,2600000000,-107.1597524072298,26.2884693209852
1610000000,-80.9268244348974,2590000000,-107.1259431832774,26.199118748380002
1620000000,-80.98200443887,2580000000,-107.0919997775318,26.10999533866179
1630000000,-81.0368235274774,2570000000,-107.0579207291451,26.0210972016677
1640000000,-81.0912960355116,2560000000,-107.0237102615491,25.932414226037494
1650000000,-81.1454175340408,2550000000,-106.9893548824301,25.843937348389304
1660000000,-81.1992060553286,2540000000,-106.9548717250529,25.755665669724294
1670000000,-81.2526470220878,2530000000,-106.9202350097912,25.6675879877034
1680000000,-81.3057678243458,2520000000,-106.8854672779236,25.57969945357779
1690000000,-81.3585573678305,2510000000,-106.8505603268181,25.492002958987598
1700000000,-81.4109968772053,2500000000,-106.8155061061969,25.4045092289916
1710000000,-81.4631280240978,2490000000,-106.780312369605,25.3171843455072
1720000000,-81.5149795759933,2480000000,-106.7449768932611,25.229997317267802
1730000000,-81.5664970951365,2470000000,-106.7094873857903,25.1429902906538
1740000000,-81.6177084882865,2460000000,-106.6738659588238,25.0561574705373
1750000000,-81.6686098902404,2450000000,-106.6380784357755,24.969468545535094
1760000000,-81.7192105585371,2440000000,-106.6021506410795,24.882940082542405
1770000000,-81.7695060459673,2430000000,-106.5660670679376,24.79656102197029
1780000000,-81.8194768724145,2420000000,-106.5298300973271,24.71035322491261
1790000000,-81.8691179431039,2410000000,-106.4934473710712,24.624329427967297
