Frequency,Magnitude,phase
4.17E+01,(-1.19285636182831e-01dB,-9.47392742463516e+00°)
4.27E+01,(-1.24847508566693e-01dB,-9.69124395455348e+00°)
4.37E+01,(-1.30665826974631e-01dB,-9.91338707281459e+00°)
4.47E+01,(-1.36752144263972e-01dB,-1.01404529576104e+01°)
4.57E+01,(-1.43118508439366e-01dB,-1.03725389345108e+01°)
4.68E+01,(-1.49777481530347e-01dB,-1.06097434330623e+01°)
4.79E+01,(-1.56742158970746e-01dB,-1.08521659382753e+01°)
4.90E+01,(-1.64026189471929e-01dB,-1.10999069366869e+01°)
5.01E+01,(-1.71643795379295e-01dB,-1.13530678566782e+01°)
5.13E+01,(-1.79609793498533e-01dB,-1.16117510027124e+01°)
5.25E+01,(-1.87939616375024e-01dB,-1.18760594831537e+01°)
5.37E+01,(-1.96649334006286e-01dB,-1.21460971313155e+01°)
5.50E+01,(-2.05755675963777e-01dB,-1.24219684193809e+01°)
5.62E+01,(-2.15276053896351e-01dB,-1.27037783648311e+01°)
5.75E+01,(-2.25228584383373e-01dB,-1.29916324290145e+01°)
5.89E+01,(-2.35632112100995e-01dB,-1.32856364074817e+01°)
6.03E+01,(-2.46506233260239e-01dB,-1.35858963117170e+01°)
6.17E+01,(-2.57871319270412e-01dB,-1.38925182418909e+01°)
6.31E+01,(-2.69748540575818e-01dB,-1.42056082502680e+01°)
6.46E+01,(-2.82159890608295e-01dB,-1.45252721949059e+01°)
6.61E+01,(-2.95128209791815e-01dB,-1.48516155832945e+01°)
6.76E+01,(-3.08677209529383e-01dB,-1.51847434055954e+01°)
6.92E+01,(-3.22831496095925e-01dB,-1.55247599571594e+01°)
7.08E+01,(-3.37616594354320e-01dB,-1.58717686500225e+01°)
7.24E+01,(-3.53058971204734e-01dB,-1.62258718131049e+01°)
7.41E+01,(-3.69186058670827e-01dB,-1.65871704808714e+01°)
7.59E+01,(-3.86026276519194e-01dB,-1.69557641702471e+01°)
7.76E+01,(-4.03609054301702e-01dB,-1.73317506456264e+01°)
7.94E+01,(-4.21964852703350e-01dB,-1.77152256718628e+01°)
8.13E+01,(-4.41125184071983e-01dB,-1.81062827551835e+01°)
8.32E+01,(-4.61122631999471e-01dB,-1.85050128720374e+01°)
8.51E+01,(-4.81990869818389e-01dB,-1.89115041859566e+01°)
8.71E+01,(-5.03764677872673e-01dB,-1.93258417525894e+01°)
8.91E+01,(-5.26479959416045e-01dB,-1.97481072131549e+01°)
9.12E+01,(-5.50173754988211e-01dB,-2.01783784766612e+01°)
9.33E+01,(-5.74884255115927e-01dB,-2.06167293913370e+01°)
9.55E+01,(-6.00650811184348e-01dB,-2.10632294058399e+01°)
