Time_s,Filtered_Signal
0.0158,-2.071913493
0.0159,-1.773544843
0.016,0.082397188
0.0161,1.919070257
0.0162,2.175498873
0.0163,1.201924976
0.0164,0.605729242
0.0165,1.007037298
0.0166,1.30688652
0.0167,0.426808647
0.0168,-0.969922429
0.0169,-1.240113602
0.017,-0.006434469
0.0171,1.21504474
0.0172,0.923446228
0.0173,-0.477446521
0.0174,-1.338507624
0.0175,-1.013748253
0.0176,-0.594681075
0.0177,-1.171466668
0.0178,-2.110521187
0.0179,-1.813433224
0.018,0.041637428
0.0181,1.877853018
0.0182,2.134238483
0.0183,1.16103207
0.0184,0.565606716
0.0185,0.96807638
0.0186,1.269462996
0.0187,0.39127928
0.0188,-1.003223258
0.0189,-1.270876994
0.019,-0.034379826
0.0191,1.190167207
0.0192,0.901853323
0.0193,-0.495572806
0.0194,-1.353021574
0.0195,-1.024541514
0.0196,-0.601683365
0.0197,-1.174646091
0.0198,-2.109884172
0.0199,-1.809024077
0.02,0.049737337
0.0201,1.889526437
0.0202,2.1493338
0.0203,1.17936516
0.0204,0.586963098
0.0205,0.992213649
0.0206,1.296113512
0.0207,0.42015308
0.0208,-0.972435357
0.0209,-1.238500126
0.021,-0.000751689
0.0211,1.224699836
0.0212,0.936938125
0.0213,-0.460290134
0.0214,-1.317893777
0.0215,-0.989916287
0.0216,-0.567899947
0.0217,-1.142031976
0.0218,-2.078751972
0.0219,-1.779668559
0.022,0.077042003
0.0221,1.914529198
0.0222,2.171808985
0.0223,1.199114474
0.0224,0.603817318
0.0225,1.006034019
0.0226,1.30679282
0.0227,0.427616407
0.0228,-0.968230211
0.0229,-1.237562549
0.023,-0.003058489
0.0231,1.219203875
0.0232,0.928339376
0.0233,-0.47187531
0.0234,-1.332320486
0.0235,-1.007012828
0.0236,-0.587469781
0.0237,-1.163855934
0.0238,-2.102590653
0.0239,-1.805264916
0.024,0.049959936
0.0241,1.88624545
0.0242,2.142616707
0.0243,1.169312932
0.0244,0.573708857
0.0245,0.975921028
0.0246,1.276974724
0.0247,0.398386718
0.0248,-0.996586748
0.0249,-1.264772705
0.025,-0.028863151
0.0251,1.195047269
0.0252,0.90605459
0.0253,-0.49208535
0.0254,-1.350275497
0.0255,-1.022556741
0.0256,-0.600472052
0.0257,-1.174212586
0.0258,-2.110225045
0.0259,-1.810128235
0.026,0.047888468
0.0261,1.886958648
0.0262,2.146079772
